REGION;CITY;addr:street;addr:housenumber;SEX;count;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;86А;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;87;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;88А;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;9;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;91;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;92;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;93;мужской;3;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;94;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;95;женский;3;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;96;мужской;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;96;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;97;мужской;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;98;женский;1;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;98;женский;2;;;
Челябинская;Челябинск;26 Бакинских Комиссаров;98А;мужской;2;;;
Челябинская;Челябинск;3 Интернационала;11;женский;1;;;
Челябинская;Челябинск;3 Интернационала;111;женский;2;;;
Челябинская;Челябинск;3 Интернационала;111А;женский;1;;;
Челябинская;Челябинск;3 Интернационала;113;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;113А;женский;1;;;
Челябинская;Челябинск;3 Интернационала;117;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;118;женский;1;;;
Челябинская;Челябинск;3 Интернационала;119;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;119А;женский;1;;;
Челябинская;Челябинск;3 Интернационала;128;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;128А;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;130;женский;1;;;
Челябинская;Челябинск;3 Интернационала;130А;женский;1;;;
Челябинская;Челябинск;3 Интернационала;153;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;18;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;2А;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;38;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;38;женский;4;;;
Челябинская;Челябинск;3 Интернационала;44;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;44А;женский;3;;;
Челябинская;Челябинск;3 Интернационала;46;мужской;7;;;
Челябинская;Челябинск;3 Интернационала;52;женский;4;;;
Челябинская;Челябинск;3 Интернационала;56;женский;2;;;
Челябинская;Челябинск;3 Интернационала;58;женский;1;;;
