REGION;CITY;addr:street;addr:housenumber;SEX;count;;
Челябинская;Челябинск;26 Бакинских Комиссаров;11;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;110;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;111;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;111;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;113;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;113А;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;114;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;114;мужской;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;115;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;115;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;117;женский;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;117;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;117А;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;117А;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;118;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;118;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;119;женский;4;;
Челябинская;Челябинск;26 Бакинских Комиссаров;119;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;12;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;12;мужской;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;120;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;120;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;122;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;122;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;123;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;125;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;125;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;127;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;127;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;128;женский;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;128;мужской;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;13;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;13;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;131;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;132;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;132;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;133;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;133;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;135;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;136;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;136;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;136А;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;136А;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;138;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;138;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;138А;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;138А;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;139;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;139;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;14;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;14;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;141;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;141;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;15;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;16;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;17;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;17;мужской;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;18;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;19;женский;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;19;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1А;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1А;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1Б;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1В;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1В;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;1Г;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;2;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;20;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;20;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;21;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;21;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;22;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;22;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;23;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;23;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;23А;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;24;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;25;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;25;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;26;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;27;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;27А;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;28;женский;4;;
Челябинская;Челябинск;26 Бакинских Комиссаров;28;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;29;женский;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;29;мужской;7;;
Челябинская;Челябинск;26 Бакинских Комиссаров;2А;женский;4;;
Челябинская;Челябинск;26 Бакинских Комиссаров;3;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;30;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;31;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;31;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;31А;мужской;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;32;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;32;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;32А;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;32А;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;33;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;33;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;35;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;36;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;37;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;37;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;38;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;38;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;39;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;39;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;4;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;4;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;40;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;40;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;41;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;41А;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;43;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;43;мужской;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;44;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;46;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;48;женский;4;;
Челябинская;Челябинск;26 Бакинских Комиссаров;48;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;49;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;49;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;4А;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;4А;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;5;женский;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;5;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;50;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;51;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;51;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;52;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;53;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;54;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;54;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;55;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;56;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;57;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;57;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;58;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;58;мужской;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;59;женский;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;59;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;6;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;6;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;60;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;60;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;62;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;64;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;65;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;66;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;66;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;67;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;67;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;68;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;68;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;69;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;6А;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;6А;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;7;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;7;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;70;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;70;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;71;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;71;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;71А;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;72;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;72;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;72А;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;73;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;74;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;74;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;74А;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;74Б;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;74Б;мужской;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;76;женский;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;76;мужской;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;78;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;78;мужской;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;79;женский;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;80;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;81;женский;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;81;мужской;1;;
Челябинская;Челябинск;26 Бакинских Комиссаров;83;женский;3;;
Челябинская;Челябинск;26 Бакинских Комиссаров;84;женский;5;;
Челябинская;Челябинск;26 Бакинских Комиссаров;84;мужской;7;;
Челябинская;Челябинск;26 Бакинских Комиссаров;85;женский;2;;
Челябинская;Челябинск;26 Бакинских Комиссаров;85;мужской;1;;
